Stamat1|2020-03-09 09:25:08
Stamat1|2020-03-09 09:27:23
Stamat1|2020-03-09 09:31:14
Stamat1|2020-04-18 19:13:25
Stamat1|2020-04-18 19:15:32
Stamat1|2020-04-18 19:19:19
Stamat1|2020-04-18 19:20:44
Stamat1|2020-04-18 19:22:27
Stamat1|2020-04-18 19:23:26
Stamat1|2020-04-18 19:24:25
Stamat1|2020-04-18 19:28:44
Stamat1|2020-04-18 19:29:24
Stamat1|2020-04-18 19:30:10
Stamat1|2020-04-18 19:31:16
Stamat1|2020-04-18 20:05:34
Stamat1|2020-04-18 20:10:03
Stamat1|2020-04-18 20:13:17
Stamat1|2020-04-18 20:16:11
